Price,Dividend Yield,Price/Earnings,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book
18.46,0.0,2.493453355155483,6.676,13.43,25.46,3.047,1.222,0.43,2.78
44.75,2.73,26.42,10.191,31.215,46.07,9.176,1.506,0.68,4.38
51.93,2.13,15.1,12.311,35.27,52.19,13.794,2.116,0.97,4.19
31.61,0.77,16.01,8.907,24.72,33.81,154.3,16.05,4.13,3.52
84.62,0.0,19.59,21.413,58.01,107.13,10.325,1.11,1.72,3.97
91.4,2.21,11.69,47.773,66.36,106.68,74.025,13.842,3.04,1.89
33.18,3.89,21.8,4.425,25.12,33.4,12.036,0.9517,5.36,7.44
11.94,5.32,19.07,15.122,10.5,13.79,4.064,0.0,3.39,0.79
13.58,10.93,4.0,0.402,12.64,21.2,2.725,1.044,0.53,34.03
41.34,1.81,11.89,16.159,31.57,48.22,14.614,2.451,0.79,2.53
45.24,4.01,21.01,30.338,36.84,47.03,18.729,4.104,1.25,1.5
40.27,4.18,36.83,7.443,33.02,42.1,6.504,0.366,5.23,5.39
563.162,0.0,25.43,52.05,411.26,774.96,28.042,1.547,6.11,10.8
161.61,0.07,18.42,57.558,138.39,179.47,23.484,2.084,3.12,2.81
9.03,0.0,9.76,8.596,5.53,12.17,3.282,1.395,0.64,1.02
35.37,1.51,17.96,12.99,26.19,35.66,3.744,0.4002,1.03,2.66
32.8,4.29,12.16,21.039,28.92,35.48,16.595,3.653,1.61,1.55
72.13,2.89,18.97,13.207,58.5,72.95,112.3,12.709,1.69,5.46
23.94,3.6,17.85,11.113,17.05,24.49,179.3,28.366,2.76,2.15
26.23,4.06,12.15,31.876,20.48,29.96,7.741,1.18,0.92,0.82
66.77,3.26,18.23,22.75,59.07,67.95,187.9,18.072,2.24,2.93
19.75,2.06,15.53,10.319,16.88,23.41,12.032,1.36,0.76,1.92
83.47,1.88,11.02,32.541,59.26,91.47,12.56,1.99,0.94,2.52
12.48,0.0,32.14093959731544,5.147,3.29,12.92,4.789,0.149,1.12,2.46
27.82,1.0,345.19,16.455,17.45,28.24,3.188,0.2605,1.58,1.7
33.2,3.37,74.89,28.021,21.74,36.62,15.266,1.298,7.44,1.19
55.16,1.47,19.58,14.318,39.81,64.55,6.41,0.6547999999999999,2.2,3.83
92.21,3.37,18.17,-0.803,60.45,93.15,156.8,14.687,4.92,-114.83188044831878
60.73,2.47,12.68,70.085,42.7,67.89,32.039,0.0,2.34,0.87
53.42,3.94,15.37,34.207,40.7,54.66,5.852,1.301,1.78,1.56
19.69,5.54,16.95,19.129,17.77,20.64,4.495,1.019,0.8,1.02
110.82,2.08,19.28,22.667,66.43,114.62,16.921,2.241,1.13,4.91
29.92,4.8,10.43,19.442,25.81,30.27,17.354,4.663,1.23,1.52
115.5,0.27,29.14,18.959,80.14,119.29,10.79,0.6952999999999999,3.53,6.07
53.89,2.7,7.56,81.224,42.45,65.17,25.226,6.081,0.48,0.66
144.56,2.85,45.54,29.701,103.42,152.68,24.654,1.248,13.24,4.84
40.0,0.5,5.32,39.842,28.75,40.83,25.011,3.469,0.14,1.01
24.78,0.0,22.87,16.604,16.0,25.07,5.278,0.533,0.92,1.48
108.16,1.94,19.35,18.831,88.64,116.93,32.25,3.48,2.84,5.73
98.29,0.08,32.36,46.794,58.63,119.19,12.092,2.296,4.6,2.13
61.982,1.44,18.27,19.033,45.98,68.87,105.6,6.716,5.75,3.26
27.95,0.28,19.57,18.863,23.56,38.44,4.989,1.566,1.77,1.49
40.83,2.86,11.25,27.08,32.76,57.63,2.087,1.328,0.33,1.5
46.01,4.94,18.68,10.418,33.83,46.93,26.016,2.895,3.06,4.36
35.72,0.0,13.18,35.954,28.13,39.4,4.411,0.43789999999999996,3.69,0.99
7.0,0.57,Infinity,10.23,2.82,7.17,9.891,0.0,2.26,0.68
28.26,2.06,22.07,5.852,19.69,32.32,3.916,0.3461,0.98,4.81
57.04,0.0,75.1,7.34,31.77,62.75,11.01,0.26180000000000003,9.44,7.88
150.16,0.67,20.82,39.401,119.41,182.48,13.921,1.279,2.01,3.77
71.01,2.46,13.79,13.397,50.36,84.71,10.19,1.159,1.63,5.3
104.76,0.5,22.64,35.03,64.9,108.89,10.21,0.8459,3.51,2.97
67.16,0.74,22.25,7.14,33.5,70.04,15.15,1.282,1.72,9.49
66.13,0.24,234.54,15.228,52.21,77.24,10.495,0.7907000000000001,8.37,4.34
12.74,8.18,1.8129439621152332,5.88,9.95,16.75,2.297,1.267,0.22,2.16
28.84,3.06,15.84,21.025,25.15,31.32,10.535,2.431,1.28,1.37
56.11,3.32,9.92,26.019,38.35,56.92,18.63,3.471,0.76,2.15
4.92,0.0,3.0077424612876933,3.077,2.1,4.96,14.762,4.908,0.42,1.56
12.08,2.0,86.33,6.626,10.31,15.18,4.126,0.421,0.38,1.81
45.57,1.51,25.06,6.774,34.14,62.0,34.565,2.293,2.64,6.66
48.96,4.03,16.16,30.498,37.43,50.34,6.404,1.249,1.54,1.59
12.88,1.84,19.65,6.068,10.56,15.53,16.375,0.0,3.47,2.14
29.29,3.87,17.48,14.009,23.17,32.27,19.126,2.415,3.63,2.07
13.99,3.71,583.75,14.864,11.51,21.5,2.7,0.9133,0.37,0.94
51.42,0.0,13.890862944162436,42.585,28.89,85.9,5.473,0.394,0.13,1.19
141.44,1.07,28.4,15.173,69.47,142.29,14.349,1.071,1.55,9.3
72.07,1.05,19.31,19.493,57.6,74.94,8.703,0.792,3.41,3.71
76.7,2.55,18.94,46.819,66.43,81.97,8.471,1.122,1.54,1.64
75.35,1.41,18.47,24.724,54.79,81.33,99.992,10.869,2.3,3.01
16.12,2.81,9.5,9.289,10.91,16.89,7.576,0.0,3.52,1.72
68.64,1.96,13.84,28.084,41.74,70.85,3.992,0.5777,1.3,2.43
41.4,0.0,15.89,29.065,30.99,53.46,10.03,1.333,1.93,1.43
59.94,0.74,19.12,9.889,35.44,59.43,8.929,1.006,4.04,6.01
46.92,4.11,18.86,20.374,38.99,48.59,40.759,6.226,2.4,2.3
157.7,2.32,31.12,19.452,103.32,163.75,47.835,3.219,10.45,8.07
13.41,3.16,9.55,10.27,12.1,16.93,9.242,2.103,0.37,1.3
89.82,0.0,30.19,16.001,75.75,94.64,7.678,0.5398,4.24,5.57
69.03,3.14,18.71,40.968,47.51,72.32,16.646,2.735,1.72,1.68
24.83,0.81,16.59,37.797,15.79,25.18,13.258,0.0,1.81,0.65
38.43,2.26,15.42,14.369,32.13,46.26,12.113,1.649,2.19,2.71
41.85,2.01,11.33,40.51,29.86,47.2,20.051,0.0,2.09,1.03
34.18,2.08,5.05,8.509,9.05,33.42,14.048,3.926,0.9,3.85
29.94,0.0,13.67,12.968,17.05,30.09,5.31,0.6511,1.99,2.3
47.87,1.57,3.022659511031604,8.65,28.79,50.89,5.069,1.677,0.11,5.53
68.39,2.42,19.18,40.709,47.07,81.9,11.498,1.59,1.05,1.66
32.04,0.0,6.687649880095923,10.098,25.63,44.36,11.155,1.668,4.13,3.25
15.99,3.74,8.91,10.797,14.73,23.16,3.83,2.269,0.09,1.51
53.06,1.55,14.49,20.902,43.73,57.15,20.186,2.501,2.36,2.53
17.28,0.0,10.83,7.116,13.06,18.88,12.147,1.788,1.77,2.39
28.84,3.73,14.71,8.334,25.09,31.18,16.893,2.345,0.4,3.44
37.49,4.7,49.71,17.792,27.29,38.28,217.6,35.504,1.7,2.09
44.17,2.91,12.07,43.206,37.96,45.99,7.98,0.6732,2.26,1.02
75.7,0.0,33.39,10.297,43.19,79.89,12.763,0.636,4.96,7.3
17.94,3.67,14.4,10.706,16.15,19.41,3.845,0.9372999999999999,1.2,1.67
58.4,4.63,22.93,38.451,45.75,61.92,4.55,0.6098,1.06,1.53
35.25,2.15,14.39,18.08,26.58,37.69,15.08,2.465,1.05,1.93
15.59,0.0,10.45,9.034,10.37,18.01,2.909,0.4121,1.82,1.71
62.84,1.91,14.47,23.998,46.95,63.0,41.55,7.491,0.59,2.61
5.22,0.0,58.33,2.723,3.46,6.05,2.16,1.083,0.23,1.93
12.9,2.32,20.65,7.038,10.42,17.95,2.26,0.22030000000000002,2.12,1.84
58.48,2.03,17.18,18.772,49.72,80.99,7.411,0.8907,2.01,3.12
44.46,0.93,21.0,4.497,25.47,45.5,32.943,3.189,1.4,10.01
50.31,1.08,9.8,38.602,32.95,52.0,4.953,0.8695,1.42,1.29
57.07,0.46,20.02,41.129,43.06,58.37,20.945,2.537,1.69,1.38
35.1,0.0,27.96,4.406,23.99,47.81,4.995,0.30069999999999997,7.36,8.21
60.93,2.13,20.55,14.417,44.68,66.0,15.466,1.313,5.49,4.23
63.98,2.65,11.49,64.894,45.97,65.27,24.655,3.989,0.96,0.98
16.04,1.01,11.72,16.061,14.07,21.06,5.863,1.579,0.17,0.98
35.5,0.0,7.55,26.803,17.43,36.06,4.956,1.519,0.16,1.32
23.67,1.56,18.76,7.367,16.34,25.06,4.475,0.475,2.41,3.22
89.43,2.34,16.3,23.871,57.15,90.0,27.562,7.346,1.34,3.73
42.9,2.33,16.47,30.992,27.62,42.56,40.709,6.927,1.39,1.37
29.75,2.3,21.66,9.807,24.34,34.24,33.848,4.212,2.52,3.01
26.83,0.3,19.26,11.046,14.66,29.18,7.538,1.157,0.63,2.43
56.87,1.77,20.42,31.102,37.51,57.75,26.331,3.496,1.48,1.82
51.9,1.35,10.54,28.003,41.32,60.75,54.443,9.516,0.52,1.86
19.44,2.3,26.27,29.945,18.28,25.0,5.444,0.42510000000000003,0.52,0.65
122.01,1.88,15.7,40.305,77.73,126.91,57.785,8.11,2.8,3.01
76.3,2.87,19.12,7.724,61.12,81.79,73.21,8.004,1.36,9.84
30.66,0.0,25.75,7.681,21.47,31.81,4.44,0.38110000000000005,1.77,4.02
33.16,1.94,12.14,17.454,20.1,34.1,62.739,0.0,3.53,1.89
77.89,2.49,16.15,24.791,66.87,87.5,71.019,9.664,1.23,3.11
129.09,0.63,62.72,39.156,79.25,132.58,86.341,6.399,8.53,3.28
56.85,0.0,15.86,13.171,48.72,71.95,6.316,0.6417999999999999,2.26,4.28
147.33,1.87,18.0,41.423,104.02,156.15,16.091,1.481,1.57,3.6
49.44,0.5,14.43,14.464,35.13,50.05,13.057,4.155,0.9,3.44
29.1,1.73,9.79,28.86,16.4,29.26,16.089,5.454,0.12,1.0
39.78,0.7,12.7958322996775,28.864,25.06,48.09,5.158,0.4031,1.99,1.38
79.89,3.45,42.69,31.374,68.39,88.5,14.833,1.51,4.88,2.55
46.76,0.0,30.46,-0.378,27.0,46.77,7.313,0.4477,8.88,-123.7037037037037
63.79,3.55,40.36,31.888,46.21,68.15,18.842,1.356,8.09,2.0
44.6,4.51,43.94,13.04,34.07,46.41,127.1,36.85,1.12,3.4
36.17,2.49,12.41,17.52,28.53,37.61,31.051,4.911,0.43,2.06
78.65,0.0,16.75,14.404,70.88,94.47,6.896,0.589,3.73,5.45
43.99,0.0,6.54,30.193,22.64,44.44,11.173,2.89,0.88,1.43
39.26,2.2,17.0,17.713,29.59,41.48,9.045,1.287,2.09,2.21
33.83,2.01,11.19,26.08,22.61,34.8,178.5,0.0,2.36,1.3
93.96,0.55,40.37,19.73,56.37,97.25,17.341,0.9992000000000001,1.57,4.8
71.84,2.81,9.52,54.714,45.22,79.39,5.571,1.454,0.3,1.3
9.41,10.75,24.35,2.424,9.0,13.08,5.536,1.969,1.14,3.84
57.91,1.89,7.78,72.714,52.52,74.73,18.832,5.072,0.3,0.78
35.05,3.98,17.68,13.322,28.77,36.35,16.248,3.307,1.18,2.62
31.85,22.58,51.07,3.261,21.9,34.63,19.956,2.884,2.73,9.69
73.68,2.11,15.91,20.313,49.28,75.24,249.3,35.3,0.55,3.64
79.86,0.0,64.69,27.907,55.0,81.0,10.194,1.336,1.84,2.84
348.88,2.79,19.4,342.761,308.5,405.0,2.657,0.5252,0.65,1.02
15.43,0.0,2.64969801553063,27.854,13.22,23.42,3.071,1.159,0.88,0.56
17.65,2.04,9.05,1.742,14.55,19.82,10.669,1.659,1.88,10.12
23.54,2.56,36.36,7.781,14.82,23.99,12.664,0.9,1.95,3.01
51.3,1.48,20.11,14.063,26.18,53.56,7.285,1.014,1.66,3.65
101.83,1.97,19.89,2.206,90.11,161.33,10.161,1.452,1.94,46.02
23.41,0.85,3.1162361623616235,24.48,17.67,32.52,3.378,1.084,0.17,0.96
28.86,3.65,16.63,17.435,22.76,29.92,14.05,2.803,1.36,1.65
22.98,1.9,10.549337260677468,31.155,17.69,23.37,7.163,0.679,1.05,0.74
33.71,2.43,18.14,10.28,26.55,37.74,8.868,0.6959,4.02,3.28
88.44,2.36,9.29,35.271,67.93,88.5,408.2,75.725,0.91,2.5
38.63,0.56,23.66,13.763,28.35,41.38,5.477,0.4673,1.93,2.8
7.18,2.4,7.92,9.188,6.36,8.84,9.386,3.135,0.41,0.78
24.46,1.24,16.3,10.496,22.43,28.87,4.54,0.625,1.18,2.33
15.15,0.0,18.01,10.209,12.45,16.79,18.509,1.306,3.93,1.57
66.83,1.71,20.86,4.662,47.15,74.44,30.464,2.764,2.28,14.29
18.87,0.21,18.45,25.481,13.18,22.81,3.474,0.0,1.58,0.75
61.37,0.59,14.28,32.604,47.0,66.41,10.752,1.553,2.39,1.87
