Price,Dividend Yield,Price/Earnings,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book
72.45,2.21,12.21,57.381,56.19,74.4,19.257,2.611,1.4,1.26
74.08,2.05,17.71,24.11,41.15,73.67,11.831,0.9338,2.08,3.05
17.77,0.0,23.33,3.911,12.3,21.16,5.702,0.7532000000000001,0.91,4.55
35.69,1.12,15.87,15.663,17.99,35.9,23.056,3.359,1.58,2.27
29.43,1.96,13.02,9.385,23.03,30.73,8.667,1.338,1.07,3.15
62.42,0.0,70.16,9.855,38.7,63.19,18.142,1.363,8.29,6.28
34.05,2.94,18.62,29.558,28.52,37.31,26.525,3.551,1.67,1.15
71.94,0.0,20.71,13.758,51.75,80.42,31.037,2.189,5.94,5.18
71.12,0.0,35.34,15.006,54.02,88.32,12.174,0.6581,5.08,4.78
207.95,0.56,8.14,78.062,115.34,215.18,13.371,3.472,2.14,2.72
26.29,0.0,20.11,23.771,22.55,27.29,5.834,0.85,1.49,1.03
19.68,1.73,6.77,26.325,13.32,33.87,13.028,5.139,1.07,0.77
54.23,2.38,19.78,7.896,50.81,76.76,8.779,0.7447999999999999,0.81,6.81
43.82,0.09,9.73,31.302,38.79,49.89,12.636,2.483,0.5,1.4
38.29,4.22,22.83,31.753,24.66,38.51,6.223,0.436,1.59,1.2
105.37,2.29,20.78,4.863,83.53,109.84,49.963,4.339,2.92,21.58
44.91,2.64,4.54,44.179,36.06,85.64,6.399,2.311,0.96,1.02
71.85,3.41,17.52,-1.038,63.06,73.65,9.345,1.08,1.7,-69.21965317919074
30.81,1.47,12.91,36.171,21.48,34.0,5.962,0.0,2.43,0.85
34.73,1.6,19.86,17.838,19.54,35.16,92.931,19.373,1.55,1.94
53.59,3.83,11.3,65.302,44.938,60.922,17.742,2.15,5.57,0.82
295.39,0.0,36.11,39.801,271.53,442.4,9.359,0.512,3.74,7.47
101.31,1.58,10.06,32.325,79.53,129.51,19.127,2.515,1.04,3.13
23.89,3.92,18.29,11.797,18.13,24.98,6.3,1.49,1.02,2.01
21.08,3.82,6.59,10.136,18.07,21.47,9.009,2.232,1.18,2.07
32.87,1.51,12.39,17.004,26.41,46.9,7.482,1.307,1.34,1.95
56.1,0.35,10.59,64.379,36.33,58.69,32.409,0.0,2.36,0.88
42.88,0.17,83.62,10.17,27.77,45.0,9.004,0.5983999999999999,8.55,4.28
54.83,1.77,15.6,6.961,45.7,79.7,15.698,1.644,3.31,7.91
49.95,2.15,11.91,8.958,44.31,61.46,7.1,1.031,1.5,5.62
57.28,34.45,6.67,37.85,50.62,78.29,69.569,29.933,0.3,1.51
95.3,1.08,26.62,29.048,71.7,97.76,41.202,3.46,0.43,3.28
57.17,1.59,14.56,21.844,41.35,57.5,27.572,3.287,2.29,2.59
33.31,3.5,14.35,4.025,29.93,34.58,10.526,1.519,1.36,8.24
139.84,0.0,182.22851746931062,13.114,94.09,164.75,19.298,0.10590000000000001,7.74,10.5
31.32,2.62,3.550766983199416,17.906,22.19,33.8,4.861,1.369,0.3,1.7
17.54,1.58,13.03,9.541,14.9,21.3,93.96,12.835,2.08,1.86
22.98,2.21,12.69,8.54,17.69,23.71,23.899,4.525,1.98,2.65
40.93,1.33,17.95,16.908,26.39,41.14,5.179,0.6955,1.26,2.41
42.78,6.82,46.59,33.219,31.16,43.43,26.577,7.551,1.45,1.28
64.97,0.0,20.65,13.541,53.54,78.0,19.636,1.39,2.88,4.76
76.26,0.0,39.51,15.48,50.21,87.99,14.434,0.5919,5.98,4.88
15.5,3.85,17.83,-20.681,10.76,19.25,4.202,2.21,0.63,-0.7494801992166723
32.45,0.77,9.84,32.416,25.78,36.04,4.511,0.9063,0.34,1.0
44.95,1.36,17.07,29.498,32.14,48.69,57.604,8.046,0.51,1.53
113.55,2.93,8.39,63.607,86.68,113.28,224.1,50.901,0.97,1.77
53.72,3.81,22.82,20.748,46.7,55.62,30.8,4.509,2.26,2.58
51.08,2.47,13.66,11.076,37.1,53.98,47.523,6.814,1.17,4.56
79.37,2.21,10.91,18.552,59.92,89.7,31.568,5.606,0.93,4.24
12.41,0.0,7.08,5.313,11.39,18.36,21.705,5.064,0.35,2.33
16.63,0.0,3.965873836608066,-0.286,7.83,17.5,3.068,0.7736000000000001,0.23,-58.14685314685315
36.84,0.99,8.47,17.204,21.44,37.22,18.969,0.0,2.9,2.12
59.47,1.02,13.72,25.239,45.13,63.98,9.441,1.647,1.24,2.37
18.09,0.82,6.97,10.931,8.03,19.35,5.776,0.2334,1.43,1.69
53.48,0.19,16.32,26.32,39.34,56.45,37.188,4.016,2.04,2.01
49.65,1.2,17.9,20.935,28.19,50.65,88.743,10.243,2.15,2.39
54.58,0.0,19.46,17.184,35.65,55.35,20.795,1.975,4.6,3.14
50.72,0.0,24.51,6.382,30.56,56.815,11.765,0.9758,1.76,8.09
79.02,1.92,13.72,-13.21,58.5,86.52,3.782,0.52,2.1,-5.981831945495836
